stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id
"12253","Richmond Station","-37.82416288","144.98953700","","vic:rail:RMD","1","Level 2"
"12254","Richmond Station","-37.82412704","144.98954933","","vic:rail:RMD","1","Level 2"
"12255","Richmond Station","-37.82403755","144.98958585","","vic:rail:RMD","1","Level 2"
"12256","Richmond Station","-37.82401091","144.98960929","","vic:rail:RMD","1","Level 2"
"12257","Richmond Station","-37.82392103","144.98962309","","vic:rail:RMD","1","Level 2"
"12258","Richmond Station","-37.82389420","144.98963518","","vic:rail:RMD","1","Level 2"
"12259","Richmond Station","-37.82381371","144.98967145","","vic:rail:RMD","1","Level 2"
"12260","Richmond Station","-37.82377788","144.98968378","","vic:rail:RMD","1","Level 2"
"12261","Richmond Station","-37.82369700","144.98969734","","vic:rail:RMD","1","Level 2"
"12262","Richmond Station","-37.82366136","144.98972103","","vic:rail:RMD","1","Level 2"
"14251","Caulfield Station","-37.87736201","145.04208396","","vic:rail:CFD","1","Level 1"
"14252","Caulfield Station","-37.87735678","145.04231148","","vic:rail:CFD","1","Level 1"
"14253","Caulfield Station","-37.87728586","145.04238158","","vic:rail:CFD","1","Level 1"
"14254","Caulfield Station","-37.87716050","145.04243037","","vic:rail:CFD","1","Level 1"
"15355","Watergardens Station","-37.70077275","144.77394158","","vic:rail:WGS","1","Level 0"
"15356","Watergardens Station","-37.70098998","144.77399179","","vic:rail:WGS","1","Level 0"
"15357","Watergardens Station","-37.70101593","144.77393431","","vic:rail:WGS","1","Level 0"
"15527","Craigieburn Station","-37.60229293","144.94322791","","vic:rail:CGB","1","Level 1"
"15528","Craigieburn Station","-37.60223730","144.94313883","","vic:rail:CGB","1","Level 1"
"15543","Essendon Station","-37.75624849","144.91633841","","vic:rail:ESD","1","Level 0"
"15544","Essendon Station","-37.75617343","144.91617026","","vic:rail:ESD","1","Level 0"
"15545","Essendon Station","-37.75617142","144.91605681","","vic:rail:ESD","1","Level 0"
"17204","Wallan Station","-37.41686100","145.00537226","","vic:rail:WAN","1","Level 0"
"19980","Melton Station","-37.70335908","144.57221577","","vic:rail:MEL","1","Level 0"
"19981","Rockbank Station","-37.72919081","144.65071313","","vic:rail:RBK","1","Level 0"
"19982","Deer Park Station","-37.77726729","144.77083121","","vic:rail:DEK","1","Level 0"
"19998","Sunbury Station","-37.57914973","144.72803035","","vic:rail:SUY","1","Level 0"
"20020","Ardeer Station","-37.78302620","144.80154202","","vic:rail:ARR","1","Level 0"
"20029","Craigieburn Station","-37.60227314","144.94312651","","vic:rail:CGB","1","Level 1"
"20043","Southern Cross Station","-37.81815683","144.95216625","","vic:rail:SSS","1","Level 0"
"20287","Albury Station","-36.08426161","146.92451544","","nsw:rail:ABY","1","Level 0"
"20288","Ararat Station","-37.28220485","142.93691370","","vic:rail:ART","1","Level 0"
"20289","Avenel Station","-36.89364778","145.22951498","","vic:rail:AVL","1","Level 0"
"20290","Bacchus Marsh Station","-37.68782809","144.43750226","","vic:rail:BAH","1","Level 0"
"20291","Bairnsdale Station","-37.82877565","147.62739832","","vic:rail:BDE","1","Level 0"
"20292","Ballan Station","-37.60429951","144.22544803","","vic:rail:BLN","1","Level 0"
"20293","Ballarat Station","-37.55865829","143.85953093","","vic:rail:BAT-V","1","Level 0"
"20294","Beaufort Station","-37.42787497","143.38223366","","vic:rail:BET","1","Level 0"
"20295","Benalla Station","-36.54455031","145.98391505","","vic:rail:BXA","1","Level 0"
"20296","Bendigo Station","-36.76560312","144.28285447","","vic:rail:BGO","1","Level 0"
"20297","Birregurra Station","-38.32880781","143.78362521","","vic:rail:BGE","1","Level 0"
"20298","Broadford Station","-37.20731649","145.04293730","","vic:rail:BRF","1","Level 0"
"20299","Bunyip Station","-38.09910771","145.72075749","","vic:rail:BYP","1","Level 0"
"20300","Camperdown Station","-38.22890091","143.15092780","","vic:rail:CPD","1","Level 0"
"20301","Castlemaine Station","-37.06288590","144.21394343","","vic:rail:CME","1","Level 0"
"20302","Chiltern Station","-36.15563663","146.61137475","","vic:rail:CHI","1","Level 0"
"20303","Clarkefield Station","-37.48355944","144.74530293","","vic:rail:CKF","1","Level 0"
"20304","Colac Station","-38.34337792","143.58665305","","vic:rail:COL","1","Level 0"
"20305","Corio Station","-38.07283126","144.37976842","","vic:rail:COR","1","Level 0"
"20306","Dingee Station","-36.36923291","144.23112034","","vic:rail:DGE","1","Level 0"
"20307","Donnybrook Station","-37.54202630","144.97012439","","vic:rail:DBK","1","Level 0"
"20308","Drouin Station","-38.13637147","145.85601665","","vic:rail:DRN","1","Level 0"
"20309","Eaglehawk Station","-36.71852539","144.24837990","","vic:rail:EAG-V","1","Level 0"
"20310","Echuca Station","-36.13104300","144.75333471","","vic:rail:ECH","1","Level 0"
"20311","Elmore Station","-36.49483741","144.60764035","","vic:rail:EME","1","Level 0"
"20312","Euroa Station","-36.74913060","145.56808862","","vic:rail:EOA","1","Level 0"
"20313","Garfield Station","-38.09103062","145.67422472","","vic:rail:GAR-V","1","Level 0"
"20314","Geelong Station","-38.14424211","144.35498911","","vic:rail:GEL","1","Level 0"
"20315","Gisborne Station","-37.45900212","144.59898723","","vic:rail:GIS","1","Level 0"
"20316","Heathcote Junction Station","-37.37166409","145.02794651","","vic:rail:HCJ","1","Level 0"
"20317","Kangaroo Flat Station","-36.79483286","144.24895657","","vic:rail:KFT","1","Level 0"
"20318","Kerang Station","-35.73312162","143.92442509","","vic:rail:KER","1","Level 0"
"20319","Kilmore East Station","-37.29365111","144.98352038","","vic:rail:KET","1","Level 0"
"20320","Kyneton Station","-37.25836427","144.45080164","","vic:rail:KYN","1","Level 0"
"20321","Lara Station","-38.02242764","144.41440429","","vic:rail:LRA","1","Level 0"
"20323","Little River Station","-37.96292909","144.49848487","","vic:rail:LRR","1","Level 0"
"20324","Longwarry Station","-38.11099211","145.76686029","","vic:rail:LWY","1","Level 0"
"20325","Macedon Station","-37.42366057","144.56125843","","vic:rail:MDN","1","Level 0"
"20326","Malmsbury Station","-37.18977634","144.37532192","","vic:rail:MMY-V","1","Level 0"
"20327","Marshall Station","-38.19854900","144.35505671","","vic:rail:MAS","1","Level 0"
"20328","Moe Station","-38.17690856","146.26057161","","vic:rail:MOE","1","Level 0"
"20329","Mooroopna Station","-36.39912828","145.35821484","","vic:rail:MPA","1","Level 0"
"20330","Morwell Station","-38.23671876","146.39675305","","vic:rail:MWL","1","Level 0"
"20331","Murchison East Station","-36.61314794","145.24063556","","vic:rail:MST","1","Level 0"
"20332","Nagambie Station","-36.78546410","145.16035666","","vic:rail:NGE","1","Level 0"
"20333","Nar Nar Goon Station","-38.08150256","145.57175867","","vic:rail:NNG","1","Level 0"
"20334","North Geelong Station","-38.12283523","144.35227190","","vic:rail:NGL","1","Level 0"
"20335","North Shore Station","-38.09837714","144.36532142","","vic:rail:NSH","1","Level 0"
"20336","Pyramid Station","-36.05311274","144.11313271","","vic:rail:PYD","1","Level 0"
"20337","Riddells Creek Station","-37.46490085","144.67995066","","vic:rail:RIK","1","Level 0"
"20338","Rochester Station","-36.36229401","144.69850500","","vic:rail:ROR","1","Level 0"
"20339","Rosedale Station","-38.15640367","146.78696637","","vic:rail:ROE","1","Level 0"
"20341","Sale Station","-38.10310272","147.05480513","","vic:rail:SAE","1","Level 0"
"20342","Seymour Station","-37.02439853","145.13851230","","vic:rail:SER","1","Level 0"
"20343","Shepparton Station","-36.38381106","145.40597310","","vic:rail:SNH","1","Level 0"
"20344","South Geelong Station","-38.15865863","144.35898705","","vic:rail:SOG","1","Level 0"
"20345","Springhurst Station","-36.18589340","146.47041695","","vic:rail:SHT","1","Level 0"
"20346","Stratford Station","-37.96704739","147.08146945","","vic:rail:STD","1","Level 0"
"20347","Swan Hill Station","-35.34111357","143.56234321","","vic:rail:SWL","1","Level 0"
"20348","Tallarook Station","-37.09233130","145.10279485","","vic:rail:TOK","1","Level 0"
"20349","Terang Station","-38.23621199","142.91147221","","vic:rail:TER","1","Level 0"
"20350","Trafalgar Station","-38.20724230","146.15477284","","vic:rail:TAR","1","Level 0"
"20351","Traralgon Station","-38.19854647","146.53890069","","vic:rail:TRN","1","Level 0"
"20352","Tynong Station","-38.08488125","145.62841889","","vic:rail:TYN","1","Level 0"
"20353","Violet Town Station","-36.63881606","145.71592345","","vic:rail:VTN","1","Level 0"
"20355","Wandong Station","-37.35524821","145.02661499","","vic:rail:WDG","1","Level 0"
"20356","Wangaratta Station","-36.35510089","146.31703846","","vic:rail:WRT","1","Level 0"
"20357","Warragul Station","-38.16478926","145.93282904","","vic:rail:WGL","1","Level 0"
"20358","Warrnambool Station","-38.38501396","142.47554504","","vic:rail:WBL","1","Level 0"
"20359","Winchelsea Station","-38.24013506","143.98413389","","vic:rail:WIA","1","Level 0"
"20360","Wodonga Station","-36.10582710","146.87126568","","vic:rail:WOD","1","Level 0"
"20361","Woodend Station","-37.35929126","144.52617876","","vic:rail:WNO","1","Level 0"
"20362","Yarragon Station","-38.20315754","146.06306280","","vic:rail:YON","1","Level 0"
"22238","Flinders Street Station","-37.81830513","144.96696435","","vic:rail:FSS","1","Level 0"
"22239","North Melbourne Station","-37.80755595","144.94216843","","vic:rail:NME","1","Level 0"
"22240","Footscray Station","-37.80157779","144.90214034","","vic:rail:FSY","1","Level 0"
"22241","Sunshine Station","-37.78833946","144.83246381","","vic:rail:SUN","1","Level 0"
"22244","Watergardens Station","-37.70097389","144.77409435","","vic:rail:WGS","1","Level 0"
"22247","Richmond Station","-37.82407446","144.99016426","","vic:rail:RMD","1","Level 0"
"22248","Caulfield Station","-37.87722507","145.04251962","","vic:rail:CFD","1","Level 1"
"22249","Clayton Station","-37.92456781","145.12068518","","vic:rail:CLA","1","Level 1"
